,Ratings,Title,Reviews,Likes,Dislikes,Date
0,3,Does the job,The product is not very good . it is just ok. having San voice when I'm sitting on ti like kich- kich. so it is not feeling well. installation ingenious is very good pursen. happy with installation.  but I'm not happy with the product..READ MORE,396,224,17-05-2018
1,3,Nice,Reviewing after using 15 days what i observed is the edges are very sharp and even if u kneel down back for head support u feel that sharpness so its very bad and while u sleep there is cracking sound coming from bed its because of not proper installation may b and another bad thing is we cannot dismantle this bed by  ourself because its all based on screws and nut bolts. and design is good and has storage facility were u can store good amount of stuff and now coming to (jeeves) installation ...READ MORE,142,98,17-08-2018
2,5,Best in the market!,I don’t know all above or below comments but for me it’s a best product within this range of money. I’ve put 6 inches wala mattress it’s like heaven to sleep now. Thank you flipkart for providing such good materials. While purchase I was having little insecurity that whether I will get good product or how. After delivery I am little assured that ok ok product by seeing the material it’s engineering wood ply. Then the guy came and fixed it inside now it’s so awesome by look as well as strength...READ MORE,20,8,17-01-2019
3,4,Really Nice,"I m giving my review after 10 days. The bed's looks and design is good. I think it is good in this price. When the bed is installed it was like very small in height but after using of 8 inch mattress(mine 78*60 from wakefit) it looks perfect. Storage space is enough. Medium size trolley easily came.The guy, akhilesh sharma.. Code ksjb160729 from jeeves, installed the bed was very good. He installed it properly.But even though i won't complain against anyone i must say.. Actually the white h...READ MORE",20,17,17-06-2020
4,5,Must buy!,The product is satisfactory! I would say the build quality is great in this price range I did get my installation of the bed done in time and the technicians were well mannered and on time. I also installed some extra screws on the joints of this bed so to increase the strength of it. Please note you will have tough time cleaning the floor beneath this bed. I did it however by sliding it to and fro.  I purchased this for arround 8500 something during the sale. I got a wakefit matters for this...READ MORE,20,7,17-12-2020
5,5,Perfect product!,"During sale time ordered this product, they delivered by exact time and installation also done within 2 days of delivery. I taken wakefit orthopaedic mattress having 78*72 with 5 inches it is very nicely suited for this bed. Maintenance is very important for this cart, untill u keep the bed away from water it should be good for long time. Happy buying......go for it and also maintain it properlyREAD MORE",20,12,17-01-2020
6,4,Very Good,I have purchased this bed from Flipkart for my new house. I am happy with the service and product. Budget friendly product. If possible I request they must improve quality of product a bit more so that you will surely get more customers. Otherwise bed is good. Service by Flipkart is always good. Installation process was also good. Overall I m happy with this productREAD MORE,19,9,17-05-2019
7,5,Perfect product!,this bed is amazing ...so good ... and looks awesome ... very strong ...READ MORE,43,21,17-10-2018
8,4,Good choice,"Actually M cutting one star becz as per expectations bed is not so strong it's little bit slim but another things are overall fantastic like finishing, hight, colour, design and Installation done by same day.READ MORE",28,2,17-09-2019
9,5,Highly recommended,"Loved it, the bed is durable and very well designed within this price range. I read few comments before buying it, someone mentioned it's difficult to shift after installing, there is nothing like that, you can easily shift it when you wish. user manual is there so any technician can do it.READ MORE",13,3,17-01-2020
10,5,Worth every penny,"Now-a-Day time is more important than money.  If you are living in your house than you should purchase it. Otherwise for money and time's value you should also buy it. Because its finishing  as well as looking is absolutely fine.  Overall it is fine,  I am not worried about it. So thanks to all Flipkart's members. Thank you so much!!!READ MORE",16,5,17-09-2018
11,5,Perfect product!,Very nice and Good quality awsm bed I am Very happy . timely delivery and installation demo is Happy ness thanks flipkartREAD MORE,13,4,17-05-2019
12,5,Fabulous!,"All over bed i quite good. i liked the bed, in this price bed is awesome. i think it's durable for at least 15-20 years if use wisely. Do mot use water cloth to wipe it or do not place this in moist area. The only thing that can destroy the bed is moisture or water. design and finish really good. I am using light weight mattress because bed can't take so much weight. not good for  kids jumping and playing. I bought small 1 inch plastic buffer separately from market for bottom of the bed. Go f...READ MORE",19,11,17-01-2021
13,5,Mind-blowing purchase,Installation was done by Suraj Kumar having employee Id IPSJCPA10412 & case Id 1525391. The installation was done on time and it's free of cost. The  service guy was good and polite. Product looks nice n value for money.READ MORE,10,4,17-01-2020
14,3,Nice,"5 Stars for product and 1 star for installation by jeeves..First of all,product itself is very good. Flipkart delivered it on time and packaging was also good.I bought a king size bed which is huge and very aesthetic It looks premium. Finishing and design is superb. This is engineered wood bed and its durability totally depends upon the use Use cautiously , don't move it when assembled and it will last for years.Overall, product is worth buying for the price we are paying .Now coming to ...READ MORE",8,3,17-07-2020
15,5,Just wow!,"height of the Bed will come below your knee and the total bed will come with two packages.one package have 12 pieces and another box 24 piece. You can't fix the bed by own ,Everytime  a technician will need  whenever you want to move or  reassembled the bed. quality is good compare to the price but as other bed you can fix by own but it requires a qualified technician. ( they will charge RS 400 for every assembling and reassembled).weight of the bed around 80 kg and looking fine for now...READ MORE",7,2,17-10-2019
16,5,Brilliant,When I see for the first time I fell to written but when they came for instillation it is really good and I thank so much the dealer and the flipkart and installation also good . No crackling sound really amazingREAD MORE,4,1,17-02-2021
17,4,Value-for-money,"value for money till yet , I have used it till 4th day its fine . can go for it no sounds at all while sitting or standing and its take exact 1 hour to fix. nice product can go for it . huge box storage , box looks small but its very big storage. go for it awesome productREAD MORE",6,2,17-11-2018
18,4,Good quality product,Worth the money delivered on date got installed the next day storage space is large very very useful got this at the price 8999/- trusted brand very much worth the moneyREAD MORE,2,0,17-02-2020
