,Output
0,['ingenious well.installation']
1,"['head support', 'installation may b', 'storage facility', 'good amount', 'installation side', 'good purchase']"
2,"['best product', 'such good purchase', 'little insecurity', 'good product', 'worried look', 'sharp sometime']"
3,"['days.the beds', 'inch mattressmine', 'perfect.storage space', 'white heels', 'more thing']"
4,"['build quality', 'price range', 'extra screws', 'it.please note', 'tough time', 'fit matters']"
5,"['sale time', 'exact time', 'fit orthopedic mattress', 'long time.happy buyinggo']"
6,['more customers.otherwise bed']
7,"['price bed', 'mot use water cloth', 'only thing', 'lightweight mattress', 'small inch plastic buffer', 'awesome installation guy']"
8,[]
9,"['high color design', 'same day']"
10,['few comments']
11,['nowaday time']
12,['first time']
13,"['service guy', 'nice n value']"
14,"['jeeves.first product', 'wood bed', 'part jeeves', 'socalled engineer', 'first time.jeeves', 'installation.some parts', 'professional.installation guy']"
15,"['packages.one package', 'other bed', 'water camp']"
16,['installation demo']
17,"['4th day', 'exact hour', 'fix.nice product', 'it.huge storage box']"
18,['day storage space']
19,"['delivery guys', 'extra money', '3rd floor', 'installation guy', 'delivery.the installation process', 'ply board', 'modular furniture', 'price range', 'particle board', 'good height', 'modern bed', 'mattress.good job flipkart']"
20,"['good products', 'good products storage system', 'super installation', 'installation team']"
21,"['joints camp', 'sturdy camp', 'leg side', 'strong joint camp', 'hassle carpenter']"
22,"['good deal', 'awesome.the experience']"
23,"['huge storage space installation', 'good pies']"
24,['worth money']
25,"['day sale', 'days.excellent delivery speed', 'old reviews', 'other online service providers']"
26,"['long term use', 'allover ok product', 'such type']"
27,"['good rack', 'sharp edges', 'plain surface', 'bottom boards']"
28,"['same day', 'delivery person', '2nd floor', 'quick installation']"
29,"['dollars sales', 'penny quality']"
30,['already2.cot height']
31,['money.if u']
32,[]
33,"['little fear', 'happy value', 'same time', 'nice guy', 'good job', 'quality products']"
34,"['third party', 'fewer members']"
35,"['wool product', 'bad thing', 'camp fixtures', 'other beds', 'proper place']"
36,"['normal kingsize', 'sharp edges.ample storage', 'different sized compartments.cons']"
37,"['queen size', 'yesterday.no problem', 'queen size', 'better buy']"
38,"['money product', 'box bottom', 'best condition']"
39,"['goodthis review', 'good productgo', 'itinstallation guy', 'good patience']"
40,"['worst product', 'even glass items', 'strong fittings', 'professional person']"
41,"['great wood frames', 'complete review', 'flipkart team', 'expert carpenter']"
42,[]
43,"['nice wooden bed', 'best price']"
44,"['good product', 'ana product']"
45,['good product']
46,['mat trace']
47,"['push.storage box', 'nice person', 'bed.very polite.he', 'nervous bt']"
48,"['jeeves service', 'storage compartment', 'mechanical stopper', 'design baseplates']"
49,"['bbutts good quality', 'partof bed']"
50,"['good amount', 'good.but thickness', 'easy breakable.lifetime']"
51,"['wonderful product.delivery', 'installation process', 'fast.the design']"
52,"['flip cart', 'good products']"
53,[]
54,['great great service.the engineer pradeep']
55,"['complete assembly', 'chinese nuts', 'better options', 'hasslefree installation']"
56,[]
57,['more things']
58,['product well.i']
59,[]
60,"['installation person', 'super product']"
61,"['excellent product', 'low cost.must']"
62,['jeeves team']
63,"['dedicated good', 'moist surface']"
64,"['amazing product', 'flipkart.thick used.small section', 'different sections', 'installation partner']"
65,"['little cross', 'installation guy']"
66,"['replacement item', 'return.the replacement', 'price range']"
67,[]
68,"['right producta little note', 'little dents']"
69,"['good product.installation', 'next installation']"
70,"['usual timely delivery', 'flipkartjeeves technician']"
71,"['good product', 'reasonable price.quality']"
72,"['many parts.not', 'assemble.if person', 'shifts dissemble house', 'best product']"
73,"['excellent delivery service', 'own house']"
74,"['product quality', 'first buy', 'affordable storage shelf size', 'size specifications', 'vikings.the product', 'wooden stubs', 'recent purchase']"
75,[]
76,"['money.installation service', 'd product']"
77,['queen bed']
78,[]
79,[]
80,"['good product delivery', 'same date']"
81,"['wood baroda', 'good quality', 'bottom part', 'wood boards']"
82,['worst product.look']
83,['last flipkart']
84,['product quality']
85,['such worst quality']
86,[]
87,[]
88,"['god level bed', 'small thing', 'great buy']"
89,[]
90,"['reliable price', 'delivery agent']"
91,[]
92,[]
93,[]
94,[]
95,[]
96,[]
97,['white molds']
98,[]
99,"['quality purpose', 'flip cart', 'bad quality product']"
100,[]
101,[]
102,"['home.otherwise design', 'same day.durability']"
103,['wood plywood']
104,[]
105,[]
106,['good installation']
107,['days rest']
108,"['easy maintenance look', 'sharp corners']"
109,['such kind']
110,['nice bed']
111,['installation staff']
112,[]
113,[]
114,[]
115,[]
116,"['durable product', 'price tag']"
117,"['such worst quality', 'light weight', 'weak.many parts', 'total waste', 'money.now flipkart', 'own brand']"
118,"['complete fitting', 'replacement bed']"
119,[]
120,[]
121,[]
122,"['sad rbrrroduct', 'late installation', 'installation guys']"
123,[]
124,['cot piece']
125,[]
126,[]
127,[]
128,['sharp corners']
129,['small home']
130,['great money']
131,"['few points', 'wood powder', 'different places', 'small towns', 'many calls', 'wood beds', 'solid wood beds', 'longer durability']"
132,[]
133,"['horrible ordering furniture', 'online mattress size', 'product description', 'actual mattress size', 'particular mattress']"
134,[]
135,['worst material']
136,[]
137,['few instructions']
138,[]
139,"['beautiful bed', 'extra cotton', 'other stuffs.headboard']"
140,"['quality finish', 'camp installation']"
141,['class people']
142,[]
143,[]
144,"['installation boy', 'period.almost product']"
145,['storage unit']
146,[]
147,[]
148,['price range']
149,[]
150,"['bottom panel boards', 'easy lifting boards']"
151,['new couples']
152,[]
153,['nice value']
154,['service provider']
155,[]
156,['cheap durable quality.not']
157,['good product.quality']
158,"['maximum life quality', 'average finish']"
159,['cooperative installation']
160,"['delivery process', 'service person', 'old bed', 'back pain issues', 'other process']"
161,['best price']
162,['cheap material']
163,['nand kishore kumquat employee']
164,['price comparison']
165,[]
166,[]
167,[]
168,[]
169,['worst product quality']
170,"['raise time support', 'durable test', 'wood dust']"
171,"['such simple things', 'whole bed']"
172,[]
173,[]
174,[]
175,[]
176,"['hard edges', 'sharp edges']"
177,"['heavy quality', 'particle board']"
178,[]
179,[]
180,"['chennai branch', 'time.and installation']"
181,[]
182,['term basis']
183,['reasonable cost']
184,[]
185,[]
186,"['good product', 'great design']"
187,"['good product', 'little noise']"
188,['nice bed']
189,[]
190,[]
191,[]
192,[]
193,[]
194,[]
195,[]
196,"['poor quality', 'poor support.due', 'water spillage']"
197,[]
198,['bad lamination']
199,[]
200,[]
201,['room shift']
202,"['box bed', 'square wood sheets']"
203,['penny storagespace']
204,['product quality']
205,['product.and installation']
206,[]
207,"['nice value', 'money engineer', 'mattress size', 'sleepyhead mattress', 'pain person']"
208,[]
209,[]
210,['money.only problem']
211,['hr.good finishing.value']
212,[]
213,"['awesome product', 'good product']"
214,[]
215,[]
216,[]
217,[]
218,['side design']
219,['designed.each space']
220,"['color material', 'plywood durability', 'thin plywood']"
221,['good condition.installation']
222,[]
223,['work value']
224,[]
225,"['good purchase', 'installation team']"
226,['price range']
227,[]
228,['camp installation']
229,[]
230,['technician arvind']
231,"['price screws', 'long run']"
232,['price range']
233,[]
234,[]
235,[]
236,"['box ply', 'nearest furniture shop']"
237,[]
238,[]
239,[]
240,[]
241,[]
242,"['best bed', 'range look']"
243,[]
244,['price rangei']
245,[]
246,['good product']
247,['different sounds']
248,[]
249,"['price basis.if', 'few pence', 'wood dust']"
250,"['queen size', 'great affordable product.edges']"
251,[]
252,[]
253,[]
254,[]
255,[]
256,[]
257,['early installation']
258,[]
259,[]
260,['satisfied product']
261,[]
262,"['faulty products', 'worst customer service']"
263,[]
264,['money product']
265,[]
266,['own house']
267,['flipkart brand']
268,[]
269,[]
270,[]
271,[]
272,[]
273,[]
274,[]
275,[]
276,[]
277,[]
278,"['bad experience', 'false promises.materials', 'bad room.very']"
279,['itvery nice product quality']
280,[]
281,[]
282,['wood.the quality']
283,[]
284,[]
285,[]
286,[]
287,['same.good quality']
288,['initial impressions']
289,['big room']
290,[]
291,"['day.the item', 'new date']"
292,['fitting team']
293,['product item']
294,[]
295,[]
296,[]
297,['proper knowledge']
298,[]
299,[]
300,['online wood items']
301,[]
302,[]
303,[]
304,[]
305,['enough space.storage space']
306,[]
307,[]
308,[]
309,[]
310,[]
311,['better durability']
312,[]
313,"['product value', 'more storage space']"
314,[]
315,[]
316,['hard board']
317,[]
318,[]
319,[]
320,[]
321,[]
322,[]
323,[]
324,[]
325,[]
326,[]
327,[]
328,['purchase pathetic product']
329,[]
330,['best product']
331,[]
332,[]
333,"['queen size', 'strong product.storage space', 'side boxes']"
334,[]
335,[]
336,[]
337,['whole piece']
338,[]
339,[]
340,[]
341,[]
342,['money.try it.i']
343,[]
344,[]
345,[]
346,[]
347,[]
348,[]
349,['good camp value']
350,['price range.size']
351,[]
352,"['good work', 'installation team']"
353,['good product']
354,['nice product.i']
355,[]
356,"['strong quality', 'good impressive.installation']"
357,[]
358,[]
359,[]
360,[]
361,[]
362,[]
363,['good finishing']
364,[]
365,[]
366,"['installation process', 'big thanks', 'flipkart team', 'installation personnel']"
367,[]
368,[]
369,[]
370,[]
371,['price range']
372,['price range']
373,[]
374,['own average']
375,"['old comments.the product', '27th jan.delivery packetdelivery boy', 'gentle.the product', 'installation.total weight', 'kg.overall experience']"
376,[]
377,[]
378,[]
379,[]
380,[]
381,[]
382,[]
383,[]
384,[]
385,[]
386,[]
387,[]
388,[]
389,[]
390,[]
391,[]
392,[]
393,[]
394,[]
395,[]
396,[]
397,[]
398,[]
399,[]
400,[]
401,['much knowledge']
402,[]
403,"['time frame', 'flipkart.installation person', 'engineering wood', 'good product.in market', 'queen size', 'wooden bed', '10k2.enough space', 'width inch', 'own4.cnt move']"
404,[]
405,[]
406,[]
407,"['bad quality', 'fitting issue screws', 'several complaints', 'such worst product guys']"
408,[]
409,['bad comments']
410,[]
411,[]
412,['nice product']
413,['little more.the shoes']
414,[]
415,[]
416,['excellent product']
417,['metaphor support']
418,['lowquality material skews']
419,['verynice product.wood quality']
420,[]
421,[]
422,[]
